epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3896,0.93881,2.75076,1.1638,0.00333,1,0.145,0.06146,0.73465,3.20599,1.3908,2e-05,2e-05,2e-05
2,19.7801,0.96562,2.70024,1.3484,0.00333,1,0.10253,0.0646,0.74111,3.21957,1.39088,5.8812e-05,5.8812e-05,5.8812e-05
3,21.2126,0.76908,2.46831,1.22218,0.00333,1,0.20896,0.12256,0.81011,3.26924,1.41767,9.604e-05,9.604e-05,9.604e-05
4,22.4402,0.88248,2.51232,1.36139,0.00333,1,0.37458,0.20814,0.77619,3.25393,1.36655,0.000131684,0.000131684,0.000131684
5,23.5097,0.74447,2.16097,1.1719,0.00333,1,0.56643,0.37173,0.78592,3.30756,1.4156,0.000165744,0.000165744,0.000165744
6,24.6377,0.74121,2.16785,1.18669,0.00333,1,0.62417,0.39119,0.81717,3.30092,1.47019,0.00019822,0.00019822,0.00019822
7,25.8464,0.89516,1.83719,1.13641,0.00333,1,0.73591,0.47839,0.89332,3.214,1.46529,0.000229112,0.000229112,0.000229112
8,27.0036,0.80299,1.8096,1.19907,0.00333,1,0.82833,0.48602,0.89582,3.1732,1.49959,0.00025842,0.00025842,0.00025842
9,28.1295,0.67765,1.61211,1.16254,0.00333,1,0.845,0.5234,0.86587,3.14795,1.46981,0.000286144,0.000286144,0.000286144
10,29.443,0.87842,1.8739,1.23448,0.00333,1,0.78667,0.45432,0.9288,3.23229,1.56598,0.000312284,0.000312284,0.000312284
11,30.7526,0.75479,1.42461,1.15303,0.00333,1,0.59222,0.30298,0.9547,3.27937,1.64132,0.00033684,0.00033684,0.00033684
12,31.8085,0.87727,1.59831,1.26207,0.00333,1,0.59222,0.30298,0.9547,3.27937,1.64132,0.000359812,0.000359812,0.000359812
13,32.8503,0.80283,1.56325,1.21963,0.00333,1,0.3725,0.20526,0.94104,3.37223,1.6252,0.0003812,0.0003812,0.0003812
14,33.9601,0.84033,1.46908,1.16831,0.00333,1,0.51182,0.28893,0.86591,3.22474,1.5955,0.000401004,0.000401004,0.000401004
15,35.0408,0.62696,1.53638,1.07797,0.00333,1,0.51182,0.28893,0.86591,3.22474,1.5955,0.000419224,0.000419224,0.000419224
16,36.154,0.87511,1.73728,1.27381,0.00333,1,0.82833,0.52049,0.9384,3.17361,1.61161,0.00043586,0.00043586,0.00043586
17,37.2645,0.64751,1.15907,1.01063,0.00333,1,0.845,0.50074,1.01669,3.08806,1.76971,0.000450912,0.000450912,0.000450912
18,38.2938,0.54562,1.16879,0.95027,0.00333,1,0.845,0.50074,1.01669,3.08806,1.76971,0.00046438,0.00046438,0.00046438
19,39.334,0.77561,1.452,1.1796,0.00333,1,0.60611,0.35372,1.03078,3.25948,1.75697,0.000476264,0.000476264,0.000476264
20,40.4119,0.69377,1.69283,1.11567,0.00333,1,0.60611,0.35372,1.03078,3.25948,1.75697,0.000486564,0.000486564,0.000486564
21,41.4908,0.76103,1.49542,1.21863,0.00333,1,0.43196,0.33276,0.82979,3.1556,1.48306,0.00049528,0.00049528,0.00049528
22,42.5426,0.82522,1.44928,1.22239,0.00333,1,0.43196,0.33276,0.82979,3.1556,1.48306,0.000502412,0.000502412,0.000502412
23,43.5148,0.56689,1.35459,0.99098,0.6389,0.25,0.41861,0.34993,0.72351,3.0484,1.45554,0.00050796,0.00050796,0.00050796
24,44.5588,0.6018,1.21361,1.09054,0.6389,0.25,0.41861,0.34993,0.72351,3.0484,1.45554,0.000511924,0.000511924,0.000511924
25,45.6318,1.0684,1.84346,1.52568,0.90245,0.25,0.495,0.37864,0.786,2.94957,1.55309,0.000514304,0.000514304,0.000514304
26,46.6683,0.58699,1.19209,1.07279,0.90245,0.25,0.495,0.37864,0.786,2.94957,1.55309,0.0005151,0.0005151,0.0005151
27,47.8473,0.70149,1.40596,1.16321,0.90245,0.25,0.495,0.37864,0.786,2.94957,1.55309,0.000514312,0.000514312,0.000514312
28,48.8964,0.60907,1.27059,1.08525,1,0.47904,0.745,0.57248,0.78451,2.76335,1.56949,0.00051194,0.00051194,0.00051194
29,50,0.63503,1.30601,1.05591,1,0.47904,0.745,0.57248,0.78451,2.76335,1.56949,0.000507984,0.000507984,0.000507984
30,51.0385,0.65725,1.13995,1.0821,1,0.49606,0.995,0.64752,0.89799,2.63483,1.83341,0.000502444,0.000502444,0.000502444
31,52.1423,0.67435,1.25552,1.04859,1,0.49606,0.995,0.64752,0.89799,2.63483,1.83341,0.00049532,0.00049532,0.00049532
32,53.2824,0.57985,1.22363,1.02938,1,0.49606,0.995,0.64752,0.89799,2.63483,1.83341,0.000486612,0.000486612,0.000486612
33,54.4564,0.77913,1.473,1.19817,1,0.85211,0.995,0.67143,1.05165,2.35555,2.33355,0.00047632,0.00047632,0.00047632
34,55.5028,0.53577,1.20973,1.04932,1,0.85211,0.995,0.67143,1.05165,2.35555,2.33355,0.000464444,0.000464444,0.000464444
35,56.609,0.56244,1.2889,0.9979,1,0.85211,0.995,0.67143,1.05165,2.35555,2.33355,0.000450984,0.000450984,0.000450984
36,57.6155,0.61255,1.23653,1.09786,1,0.92032,0.995,0.68858,1.10839,2.21416,2.66583,0.00043594,0.00043594,0.00043594
37,58.5755,0.64073,1.20673,1.05567,1,0.92032,0.995,0.68858,1.10839,2.21416,2.66583,0.000419312,0.000419312,0.000419312
38,59.6203,0.68269,1.4253,1.19901,1,0.92032,0.995,0.68858,1.10839,2.21416,2.66583,0.0004011,0.0004011,0.0004011
39,60.7061,0.6502,1.17866,1.16628,0.97089,0.75,0.945,0.63849,1.08923,2.01544,2.56079,0.000381304,0.000381304,0.000381304
40,61.8151,0.56593,1.12296,1.0578,0.97089,0.75,0.945,0.63849,1.08923,2.01544,2.56079,0.000359924,0.000359924,0.000359924
41,62.9517,0.42551,1.59722,1.02728,0.97089,0.75,0.945,0.63849,1.08923,2.01544,2.56079,0.00033696,0.00033696,0.00033696
42,64.0691,0.56796,1.75548,1.10861,0.95102,1,0.995,0.70024,1.13392,1.99272,2.63676,0.000312412,0.000312412,0.000312412
43,65.1275,0.65493,1.91822,0.98381,0.95102,1,0.995,0.70024,1.13392,1.99272,2.63676,0.00028628,0.00028628,0.00028628
44,66.2583,0.44584,1.87173,0.94207,0.95102,1,0.995,0.70024,1.13392,1.99272,2.63676,0.000258564,0.000258564,0.000258564
45,67.2677,0.51562,1.74748,1.12069,0.95102,1,0.995,0.70024,1.13392,1.99272,2.63676,0.000229264,0.000229264,0.000229264
46,68.2821,0.44749,1.67321,0.9524,0.99346,1,0.995,0.70024,1.19312,2.04342,2.64532,0.00019838,0.00019838,0.00019838
47,69.3197,0.60972,1.80993,1.14519,0.99346,1,0.995,0.70024,1.19312,2.04342,2.64532,0.000165912,0.000165912,0.000165912
48,70.4523,0.54322,2.20215,1.0251,0.99346,1,0.995,0.70024,1.19312,2.04342,2.64532,0.00013186,0.00013186,0.00013186
49,71.4842,0.68412,2.11487,1.16141,0.99346,1,0.995,0.70024,1.19312,2.04342,2.64532,9.6224e-05,9.6224e-05,9.6224e-05
50,72.5718,0.38729,1.87133,0.99558,1,0.99001,0.995,0.70056,1.18772,1.99603,2.53922,5.9004e-05,5.9004e-05,5.9004e-05
