epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.31128,1.02835,2.65729,1.41593,0.0025,0.75,0.10626,0.08501,0.72315,3.52511,1.25824,2e-05,2e-05,2e-05
2,4.56115,0.9304,2.62441,1.31369,0.0025,0.75,0.14907,0.12052,0.73575,3.56439,1.28002,5.8812e-05,5.8812e-05,5.8812e-05
3,5.73885,0.78271,2.51225,1.18573,0.0025,0.75,0.28532,0.21826,0.70506,3.52021,1.28456,9.604e-05,9.604e-05,9.604e-05
4,7.07291,0.9403,2.39436,1.39008,0.0025,0.75,0.49533,0.37958,0.64692,3.46508,1.29736,0.000131684,0.000131684,0.000131684
5,8.16749,0.79192,2.31836,1.19438,0.0025,0.75,0.60247,0.44469,0.65024,3.4412,1.29696,0.000165744,0.000165744,0.000165744
6,9.28273,0.6561,1.98923,1.09584,0.0025,0.75,0.57866,0.41057,0.69221,3.4171,1.31974,0.00019822,0.00019822,0.00019822
7,10.4192,0.69497,1.78926,1.07505,0.0025,0.75,0.60247,0.44469,0.77822,3.38315,1.36083,0.000229112,0.000229112,0.000229112
8,11.6469,0.78559,1.67085,1.19388,0.0025,0.75,0.60247,0.44469,0.81046,3.26528,1.43111,0.00025842,0.00025842,0.00025842
9,12.6818,0.65067,1.42354,1.16338,0.0025,0.75,0.53699,0.39655,0.82004,3.16773,1.42973,0.000286144,0.000286144,0.000286144
10,13.841,0.89284,1.62119,1.33772,0.37829,0.75,0.56199,0.40326,0.84345,3.05861,1.46079,0.000312284,0.000312284,0.000312284
11,14.9758,0.67389,1.23527,1.13706,1,0.45717,0.64533,0.52119,0.78553,2.98855,1.37036,0.00033684,0.00033684,0.00033684
12,16.012,0.69705,1.38945,1.09664,1,0.45717,0.64533,0.52119,0.78553,2.98855,1.37036,0.000359812,0.000359812,0.000359812
13,17.1385,0.78235,1.16094,1.21926,1,0.46845,0.68283,0.5833,0.67766,3.03974,1.25478,0.0003812,0.0003812,0.0003812
14,18.2125,0.68829,1.31845,1.13914,1,0.49645,0.68283,0.61454,0.5505,3.00947,1.1754,0.000401004,0.000401004,0.000401004
15,19.2572,0.82354,1.35536,1.29483,1,0.49645,0.68283,0.61454,0.5505,3.00947,1.1754,0.000419224,0.000419224,0.000419224
16,20.4947,0.81078,1.55604,1.28666,0.6219,0.43285,0.62033,0.55829,0.60331,3.1159,1.1408,0.00043586,0.00043586,0.00043586
17,21.6952,0.60583,0.97954,0.98413,0.59319,0.38978,0.48033,0.39246,0.73376,3.15701,1.29202,0.000450912,0.000450912,0.000450912
18,22.7859,0.57886,1.23192,0.97665,0.59319,0.38978,0.48033,0.39246,0.73376,3.15701,1.29202,0.00046438,0.00046438,0.00046438
19,23.8815,0.74919,1.23287,1.20225,0.6067,0.41006,0.55907,0.40168,0.92838,3.13622,1.48107,0.000476264,0.000476264,0.000476264
20,24.9966,0.65333,1.31944,1.12707,0.6067,0.41006,0.55907,0.40168,0.92838,3.13622,1.48107,0.000486564,0.000486564,0.000486564
21,26.009,0.78475,1.62001,1.17552,0.66163,0.5,0.62033,0.3817,1.11023,3.25436,1.75825,0.00049528,0.00049528,0.00049528
22,27.053,0.74978,1.36666,1.17875,0.66163,0.5,0.62033,0.3817,1.11023,3.25436,1.75825,0.000502412,0.000502412,0.000502412
23,28.0953,0.71683,1.18981,1.18802,0.86716,0.5,0.58908,0.32728,1.14422,3.1617,1.96999,0.00050796,0.00050796,0.00050796
24,29.3276,0.64749,1.12635,1.13885,0.86716,0.5,0.58908,0.32728,1.14422,3.1617,1.96999,0.000511924,0.000511924,0.000511924
25,30.3805,0.68537,1.38839,1.26458,0.79486,0.5,0.64533,0.47895,0.99113,2.90777,1.80148,0.000514304,0.000514304,0.000514304
26,31.6422,0.57131,1.11594,1.00289,0.79486,0.5,0.64533,0.47895,0.99113,2.90777,1.80148,0.0005151,0.0005151,0.0005151
27,32.7572,0.7452,1.18652,1.18776,0.79486,0.5,0.64533,0.47895,0.99113,2.90777,1.80148,0.000514312,0.000514312,0.000514312
28,33.7987,0.48975,1.01155,1.05348,0.70933,0.62798,0.68283,0.51508,0.78286,2.81926,1.44402,0.00051194,0.00051194,0.00051194
29,34.8131,0.62722,1.1843,1.05861,0.70933,0.62798,0.68283,0.51508,0.78286,2.81926,1.44402,0.000507984,0.000507984,0.000507984
30,35.9062,0.5804,1.02799,1.0606,0.51311,0.75,0.64533,0.48388,0.74202,2.80031,1.35598,0.000502444,0.000502444,0.000502444
31,37.1342,0.66605,1.14591,1.04419,0.51311,0.75,0.64533,0.48388,0.74202,2.80031,1.35598,0.00049532,0.00049532,0.00049532
32,38.2474,0.4886,1.05659,1.04935,0.51311,0.75,0.64533,0.48388,0.74202,2.80031,1.35598,0.000486612,0.000486612,0.000486612
33,39.3793,0.5833,1.12431,1.06133,0.57013,0.75,0.68283,0.55857,0.71812,2.84511,1.38522,0.00047632,0.00047632,0.00047632
34,40.4533,0.75376,1.21093,1.30319,0.57013,0.75,0.68283,0.55857,0.71812,2.84511,1.38522,0.000464444,0.000464444,0.000464444
35,41.5274,0.54896,1.2436,1.1607,0.57013,0.75,0.68283,0.55857,0.71812,2.84511,1.38522,0.000450984,0.000450984,0.000450984
36,42.5813,0.66476,1.2618,1.13926,0.92473,0.5,0.64533,0.48388,0.79732,2.72874,1.49875,0.00043594,0.00043594,0.00043594
37,43.6397,0.65348,1.09027,1.12138,0.92473,0.5,0.64533,0.48388,0.79732,2.72874,1.49875,0.000419312,0.000419312,0.000419312
38,44.8072,0.70663,1.32989,1.23099,0.92473,0.5,0.64533,0.48388,0.79732,2.72874,1.49875,0.0004011,0.0004011,0.0004011
39,45.9359,0.65171,1.16908,1.19953,0.95252,0.5,0.62033,0.44246,0.94499,2.62042,1.61545,0.000381304,0.000381304,0.000381304
40,47.1452,0.53795,1.1429,1.04798,0.95252,0.5,0.62033,0.44246,0.94499,2.62042,1.61545,0.000359924,0.000359924,0.000359924
41,48.4567,0.53499,1.76944,1.19272,0.95252,0.5,0.62033,0.44246,0.94499,2.62042,1.61545,0.00033696,0.00033696,0.00033696
42,49.7513,0.45363,1.64594,1.00667,0.93993,0.5,0.60247,0.42879,1.02261,2.75818,1.67189,0.000312412,0.000312412,0.000312412
43,50.8589,0.5472,1.57932,0.89173,0.93993,0.5,0.60247,0.42879,1.02261,2.75818,1.67189,0.00028628,0.00028628,0.00028628
44,51.9812,0.52486,1.49965,1.00249,0.93993,0.5,0.60247,0.42879,1.02261,2.75818,1.67189,0.000258564,0.000258564,0.000258564
45,53.0198,0.57349,1.69491,1.08159,0.93993,0.5,0.60247,0.42879,1.02261,2.75818,1.67189,0.000229264,0.000229264,0.000229264
46,54.0433,0.46964,1.48877,0.9721,0.93426,0.5,0.62033,0.40105,1.01671,2.7217,1.658,0.00019838,0.00019838,0.00019838
47,55.2383,0.56983,1.61179,1.10717,0.93426,0.5,0.62033,0.40105,1.01671,2.7217,1.658,0.000165912,0.000165912,0.000165912
48,56.3926,0.44947,1.39045,1.04805,0.93426,0.5,0.62033,0.40105,1.01671,2.7217,1.658,0.00013186,0.00013186,0.00013186
49,57.4457,0.50586,1.63779,1.0437,0.93426,0.5,0.62033,0.40105,1.01671,2.7217,1.658,9.6224e-05,9.6224e-05,9.6224e-05
50,58.6532,0.74174,2.04782,1.24193,0.73226,0.69677,0.68283,0.49029,1.00596,2.60776,1.63453,5.9004e-05,5.9004e-05,5.9004e-05
