epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57459,1.00344,2.72846,1.40815,0.00278,0.83333,0.25849,0.15274,0.80097,3.47959,1.56209,4e-05,4e-05,4e-05
2,8.74884,1.03491,2.54601,1.40497,0.00278,0.83333,0.58861,0.43934,0.73253,3.4647,1.49529,9.802e-05,9.802e-05,9.802e-05
3,10.6191,1.01054,2.43103,1.50739,0.00278,0.83333,0.68666,0.44759,0.70773,3.50877,1.47158,0.000153664,0.000153664,0.000153664
4,12.4,0.95915,2.09037,1.44191,0.00278,0.83333,0.593,0.334,0.82516,3.34343,1.56849,0.000206932,0.000206932,0.000206932
5,14.1543,0.90765,2.01536,1.44259,0.00278,0.83333,0.6325,0.31522,0.72063,3.38201,1.47186,0.000257824,0.000257824,0.000257824
6,15.7825,0.81297,1.62503,1.23152,0.00278,0.83333,0.57583,0.33719,0.8216,3.17385,1.55314,0.00030634,0.00030634,0.00030634
7,17.4152,0.81154,1.61971,1.24082,0.00278,0.83333,0.56939,0.37733,0.90964,3.17926,1.59561,0.00035248,0.00035248,0.00035248
8,18.9241,0.9629,1.45769,1.38692,0.00278,0.83333,0.4894,0.33363,0.91266,3.21048,1.59103,0.000396244,0.000396244,0.000396244
9,20.5491,0.85822,1.40384,1.33734,0.00278,0.83333,0.59666,0.39927,0.92658,3.14998,1.62776,0.000437632,0.000437632,0.000437632
10,22.0476,0.90162,1.48549,1.35415,0.00278,0.83333,0.69606,0.45895,0.98189,3.1005,1.70427,0.000476644,0.000476644,0.000476644
11,23.6782,0.76939,1.32845,1.30171,0.80496,0.69147,0.72356,0.46177,1.07093,2.92463,1.87103,0.00051328,0.00051328,0.00051328
12,25.4696,0.79921,1.26492,1.23982,0.80815,0.83333,0.80689,0.51753,1.15774,2.76861,2.04728,0.00054754,0.00054754,0.00054754
13,27.1217,0.77064,1.21466,1.19397,0.85616,0.83333,0.83523,0.46923,1.24544,2.85664,2.21885,0.000579424,0.000579424,0.000579424
14,28.7831,0.71225,1.12876,1.172,0.79222,0.64074,0.72066,0.33541,1.47149,2.93551,2.57748,0.000608932,0.000608932,0.000608932
15,30.4548,0.87832,1.32883,1.28347,0.79222,0.64074,0.72066,0.33541,1.47149,2.93551,2.57748,0.000636064,0.000636064,0.000636064
16,32.0819,0.74301,1.227,1.17694,0.92681,0.66667,0.78666,0.31455,1.63513,2.90675,2.7315,0.00066082,0.00066082,0.00066082
17,33.7196,0.82051,1.32839,1.22607,0.63772,0.5,0.50339,0.30415,1.50983,3.18214,2.54591,0.0006832,0.0006832,0.0006832
18,35.4764,0.75895,1.19874,1.20547,0.63772,0.5,0.50339,0.30415,1.50983,3.18214,2.54591,0.000703204,0.000703204,0.000703204
19,37.0667,0.67651,1.1379,1.16743,1,0.32827,0.55358,0.31335,1.56075,3.14058,2.51132,0.000720832,0.000720832,0.000720832
20,38.6598,0.84539,1.34122,1.27234,0.91484,0.5,0.59507,0.39906,1.36512,3.05017,2.23706,0.000736084,0.000736084,0.000736084
21,40.3193,0.82606,1.20561,1.23758,0.91484,0.5,0.59507,0.39906,1.36512,3.05017,2.23706,0.00074896,0.00074896,0.00074896
22,41.8936,0.86821,1.20998,1.31262,0.37804,0.5,0.60123,0.35304,1.44365,3.03982,2.2109,0.00075946,0.00075946,0.00075946
23,43.4737,0.82527,1.1993,1.24616,0.37804,0.5,0.60123,0.35304,1.44365,3.03982,2.2109,0.000767584,0.000767584,0.000767584
24,45.1041,0.63528,1.0647,1.16238,0.68315,0.66667,0.77148,0.39847,1.52074,2.85027,2.37402,0.000773332,0.000773332,0.000773332
25,46.6928,0.67642,1.28218,1.09255,0.68315,0.66667,0.77148,0.39847,1.52074,2.85027,2.37402,0.000776704,0.000776704,0.000776704
26,48.3038,0.77289,1.17804,1.23788,0.91425,0.83333,0.83523,0.42209,1.4216,2.60624,2.36014,0.0007777,0.0007777,0.0007777
27,49.9331,0.70416,1.06942,1.11496,0.91425,0.83333,0.83523,0.42209,1.4216,2.60624,2.36014,0.00077632,0.00077632,0.00077632
28,51.6936,0.67223,1.05111,1.1315,0.98205,0.83333,0.83523,0.42727,1.5472,2.69775,2.57717,0.000772564,0.000772564,0.000772564
29,53.3156,0.79777,1.03351,1.22087,0.98205,0.83333,0.83523,0.42727,1.5472,2.69775,2.57717,0.000766432,0.000766432,0.000766432
30,54.8746,0.68901,1.06649,1.14781,0.98205,0.83333,0.83523,0.42727,1.5472,2.69775,2.57717,0.000757924,0.000757924,0.000757924
31,56.4912,0.68669,1.17223,1.14549,0.79229,0.83333,0.80689,0.50258,1.32043,2.60839,2.26745,0.00074704,0.00074704,0.00074704
32,58.1586,0.7013,1.0168,1.14301,0.79229,0.83333,0.80689,0.50258,1.32043,2.60839,2.26745,0.00073378,0.00073378,0.00073378
33,59.8117,0.72643,1.08452,1.27556,0.82726,0.80294,0.77856,0.46132,1.22964,2.9159,2.22015,0.000718144,0.000718144,0.000718144
34,61.4349,0.69778,0.94197,1.05907,0.82726,0.80294,0.77856,0.46132,1.22964,2.9159,2.22015,0.0006932,0.0006932,0.0006932
35,63.0335,0.73419,0.9423,1.10459,0.82726,0.80294,0.77856,0.46132,1.22964,2.9159,2.22015,0.0006536,0.0006536,0.0006536
36,64.6035,0.64163,1.15536,1.12495,0.69923,0.83333,0.75266,0.47641,1.24035,2.49015,2.35588,0.000614,0.000614,0.000614
37,66.1994,0.73043,1.01737,1.11115,0.69923,0.83333,0.75266,0.47641,1.24035,2.49015,2.35588,0.0005744,0.0005744,0.0005744
38,67.8352,0.63802,1.02899,1.05503,0.69923,0.83333,0.75266,0.47641,1.24035,2.49015,2.35588,0.0005348,0.0005348,0.0005348
39,69.5742,0.62073,1.0151,1.11099,0.78728,0.83333,0.80689,0.51997,1.16986,2.28448,2.11049,0.0004952,0.0004952,0.0004952
40,71.2162,0.64511,1.05249,1.071,0.78728,0.83333,0.80689,0.51997,1.16986,2.28448,2.11049,0.0004556,0.0004556,0.0004556
41,73.1828,0.7478,2.06875,1.25963,1,0.80044,0.83523,0.49729,1.13804,2.22271,1.98485,0.000416,0.000416,0.000416
42,74.824,0.5997,1.88571,1.09772,1,0.80044,0.83523,0.49729,1.13804,2.22271,1.98485,0.0003764,0.0003764,0.0003764
43,76.3898,0.56394,1.64402,1.13501,1,0.80044,0.83523,0.49729,1.13804,2.22271,1.98485,0.0003368,0.0003368,0.0003368
44,78.0398,0.58569,1.46093,1.1555,0.92405,0.83333,0.83523,0.5153,1.13678,2.17069,1.87156,0.0002972,0.0002972,0.0002972
45,79.7108,0.52146,1.45809,1.17353,0.92405,0.83333,0.83523,0.5153,1.13678,2.17069,1.87156,0.0002576,0.0002576,0.0002576
46,81.383,0.55045,1.49109,1.13143,0.92405,0.83333,0.83523,0.5153,1.13678,2.17069,1.87156,0.000218,0.000218,0.000218
47,83.1875,0.53948,1.54101,1.14727,0.82438,0.83333,0.72356,0.44687,1.18915,2.33862,1.88629,0.0001784,0.0001784,0.0001784
48,84.8385,0.52792,1.59609,1.09471,0.82438,0.83333,0.72356,0.44687,1.18915,2.33862,1.88629,0.0001388,0.0001388,0.0001388
49,86.555,0.51395,1.45765,1.13565,0.82435,0.83333,0.72356,0.43628,1.23324,2.41289,1.91199,9.92e-05,9.92e-05,9.92e-05
50,88.1494,0.45119,1.50814,1.04937,0.82435,0.83333,0.72356,0.43628,1.23324,2.41289,1.91199,5.96e-05,5.96e-05,5.96e-05
