epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.12618,1.09312,2.7372,1.50976,0.0025,0.75,0.27211,0.21769,0.75511,3.50729,1.20462,4e-05,4e-05,4e-05
2,3.89159,0.7954,2.69035,1.31678,0.0025,0.75,0.28191,0.22377,0.7332,3.53093,1.22163,9.67e-05,9.67e-05,9.67e-05
3,5.69971,0.75072,2.63007,1.16272,0.0025,0.75,0.3156,0.25317,0.7595,3.55562,1.25049,0.00014944,0.00014944,0.00014944
4,7.46491,0.96906,2.54962,1.411,0.0025,0.75,0.39238,0.30143,0.76532,3.60204,1.24185,0.00019822,0.00019822,0.00019822
5,9.24074,0.81795,2.58969,1.22844,0.0025,0.75,0.43977,0.33423,0.79415,3.57752,1.26005,0.00024304,0.00024304,0.00024304
6,10.9716,0.60655,2.34486,1.04596,0.0025,0.75,0.5348,0.42916,0.80254,3.53547,1.31384,0.0002839,0.0002839,0.0002839
7,12.7376,0.74538,2.24813,1.08765,0.0025,0.75,0.56351,0.45081,0.80247,3.50617,1.32502,0.0003208,0.0003208,0.0003208
8,14.5499,0.71527,2.24815,1.20001,0.0025,0.75,0.64533,0.47402,0.85983,3.51421,1.35771,0.00035374,0.00035374,0.00035374
9,16.2609,0.70478,2.10064,1.17459,0.0025,0.75,0.64533,0.47402,0.85983,3.51421,1.35771,0.00038272,0.00038272,0.00038272
10,18.0245,0.96055,2.34478,1.37679,0.0025,0.75,0.64533,0.51626,0.86895,3.44641,1.3726,0.00040774,0.00040774,0.00040774
11,19.795,0.7442,2.05929,1.18776,0.0025,0.75,0.64533,0.51626,0.86895,3.44641,1.3726,0.0004288,0.0004288,0.0004288
12,21.5905,0.73133,2.01036,1.10392,0.0025,0.75,0.64533,0.52119,0.78017,3.4122,1.34515,0.0004459,0.0004459,0.0004459
13,23.3455,0.77194,1.92483,1.20443,0.0025,0.75,0.64533,0.52119,0.78017,3.4122,1.34515,0.00045904,0.00045904,0.00045904
14,25.0943,0.73655,1.92277,1.16425,0.0025,0.75,0.68283,0.55242,0.65809,3.29164,1.31271,0.00046822,0.00046822,0.00046822
15,26.8457,0.78673,1.85811,1.2415,0.0025,0.75,0.68283,0.55242,0.65809,3.29164,1.31271,0.00047344,0.00047344,0.00047344
16,28.646,0.77532,1.9682,1.29475,0.0025,0.75,0.68283,0.55242,0.65809,3.29164,1.31271,0.0004747,0.0004747,0.0004747
17,30.4231,0.65129,1.79088,1.0637,1,0.4941,0.74533,0.60854,0.72755,3.23184,1.3455,0.000472,0.000472,0.000472
18,32.2248,0.78362,1.93928,1.08552,1,0.4941,0.74533,0.60854,0.72755,3.23184,1.3455,0.00046534,0.00046534,0.00046534
19,33.9768,0.87597,1.78962,1.40546,1,0.4941,0.74533,0.60854,0.72755,3.23184,1.3455,0.00045472,0.00045472,0.00045472
20,35.7591,0.72076,1.85153,1.28326,1,0.50452,0.74533,0.53401,1.00565,3.37854,1.44887,0.00044014,0.00044014,0.00044014
21,37.4917,0.47904,1.93516,0.93104,1,0.50452,0.74533,0.53401,1.00565,3.37854,1.44887,0.0004216,0.0004216,0.0004216
22,39.2244,0.84175,2.53158,1.48435,1,0.50452,0.74533,0.53401,1.00565,3.37854,1.44887,0.0003991,0.0003991,0.0003991
23,40.9328,0.5782,1.94387,1.1343,1,0.50452,0.74533,0.53401,1.00565,3.37854,1.44887,0.00037264,0.00037264,0.00037264
24,42.704,0.79054,2.31844,1.3326,0.77941,0.5,0.68283,0.49026,1.1408,3.26278,1.60636,0.00034222,0.00034222,0.00034222
25,44.5787,0.80192,2.17293,1.2008,0.77941,0.5,0.68283,0.49026,1.1408,3.26278,1.60636,0.00030784,0.00030784,0.00030784
26,46.3159,0.85495,2.39828,1.49497,0.77941,0.5,0.68283,0.49026,1.1408,3.26278,1.60636,0.0002695,0.0002695,0.0002695
27,48.1638,0.76713,2.52799,1.34445,0.77941,0.5,0.68283,0.49026,1.1408,3.26278,1.60636,0.0002272,0.0002272,0.0002272
28,50.0432,0.75477,2.04926,1.23822,0.77941,0.5,0.68283,0.49026,1.1408,3.26278,1.60636,0.00018094,0.00018094,0.00018094
29,51.8036,0.94186,2.41569,1.50397,0.90871,0.5,0.64533,0.47402,1.08815,3.04059,1.62389,0.00013072,0.00013072,0.00013072
30,53.5494,0.68778,2.01526,1.07637,0.90871,0.5,0.64533,0.47402,1.08815,3.04059,1.62389,7.654e-05,7.654e-05,7.654e-05
