epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.2768,1.05975,2.58833,1.58206,0.00333,0.75,0.34365,0.3258,0.58008,2.93873,1.35442,6e-05,6e-05,6e-05
2,4.39477,0.88371,2.5379,1.43306,0.00333,0.75,0.54543,0.43802,0.50271,2.94294,1.25392,0.000138845,0.000138845,0.000138845
3,6.45007,0.63373,2.391,1.1814,0.00333,0.75,0.74543,0.57096,0.51096,2.91657,1.24351,0.00021637,0.00021637,0.00021637
4,8.51788,0.72497,2.36914,1.32849,0.00333,0.75,0.64543,0.49869,0.54114,2.98681,1.32601,0.000292575,0.000292575,0.000292575
5,10.5554,0.62795,2.30033,1.28809,0.00333,0.75,0.74543,0.45402,0.67893,3.11133,1.34896,0.00036746,0.00036746,0.00036746
6,12.6015,0.59781,2.15625,1.16446,0.00333,0.75,0.74543,0.61246,0.58523,2.98067,1.33248,0.000441025,0.000441025,0.000441025
7,14.638,0.62242,2.1179,1.2663,0.00333,0.75,0.74543,0.61246,0.58523,2.98067,1.33248,0.00051327,0.00051327,0.00051327
8,16.7095,0.57756,2.06277,1.18022,0.00333,0.75,0.74543,0.6294,0.52963,2.89352,1.26712,0.000584195,0.000584195,0.000584195
9,18.7552,0.50464,1.88044,1.16248,0.00333,0.75,0.74543,0.59615,0.61121,2.84961,1.30429,0.0006538,0.0006538,0.0006538
10,20.8148,0.60895,1.8516,1.24039,0.00333,0.75,0.74543,0.59615,0.61121,2.84961,1.30429,0.000722085,0.000722085,0.000722085
11,22.8792,0.63222,1.83561,1.25601,0.00333,0.75,0.74543,0.4511,0.74421,2.91636,1.48938,0.00078905,0.00078905,0.00078905
12,24.9126,0.50728,1.62502,1.10252,0.00333,0.75,0.74543,0.4511,0.74421,2.91636,1.48938,0.000854695,0.000854695,0.000854695
13,26.9882,0.59825,1.60351,1.18087,0.00333,0.75,0.43758,0.1841,1.91682,3.32007,2.41684,0.00091902,0.00091902,0.00091902
