epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5036,1.11243,2.4599,1.42726,0.80268,0.83333,0.72356,0.49515,0.97941,2.32506,1.28593,2e-05,2e-05,2e-05
2,22.3061,0.97742,1.75794,1.25944,0.67387,0.83333,0.65366,0.46105,0.79448,4.76859,1.15818,5.9505e-05,5.9505e-05,5.9505e-05
3,24.143,0.75794,1.18646,1.15672,0.67271,0.83333,0.72066,0.51575,0.86515,5.43368,1.1766,9.835e-05,9.835e-05,9.835e-05
4,26.2447,0.80947,1.43375,1.19048,0.54257,0.83333,0.56306,0.37372,0.99382,3.39737,1.32454,0.000136535,0.000136535,0.000136535
5,28.3293,1.01634,1.39519,1.28304,0.59498,0.83333,0.75189,0.51861,0.97553,2.74288,1.31177,0.00017406,0.00017406,0.00017406
6,30.2106,0.92639,1.12699,1.18804,0.59872,0.83333,0.78667,0.50852,1.13089,4.28965,1.43655,0.000210925,0.000210925,0.000210925
7,32.1137,0.97569,1.11666,1.2497,0.60939,0.83333,0.67151,0.4632,1.01293,2.35359,1.4159,0.00024713,0.00024713,0.00024713
8,34.1892,0.89486,1.10237,1.16196,0.64157,0.83333,0.75271,0.49224,1.1665,1.8778,1.6098,0.000282675,0.000282675,0.000282675
9,36.0577,1.00491,1.12201,1.34353,0.8045,0.83333,0.77863,0.51728,1.13213,2.06774,1.6768,0.00031756,0.00031756,0.00031756
10,38.0058,0.94729,0.94687,1.2421,0.61483,0.83333,0.65569,0.42945,1.12586,3.01514,1.82339,0.000351785,0.000351785,0.000351785
11,39.8824,0.92857,0.80943,1.23192,0.39018,0.83333,0.47769,0.31962,1.1069,3.88312,1.89096,0.00038535,0.00038535,0.00038535
12,41.955,0.89459,0.7777,1.10584,0.3511,0.81295,0.32718,0.18854,1.44484,3.92788,2.42981,0.000418255,0.000418255,0.000418255
13,43.9326,0.96709,1.26464,1.29195,0.88678,0.5,0.66549,0.42159,1.40191,1.72543,2.31507,0.0004505,0.0004505,0.0004505
14,45.8283,1.09908,1.14208,1.38174,0.48083,0.66667,0.49017,0.31396,1.47191,2.19433,2.42081,0.000482085,0.000482085,0.000482085
15,47.7706,1.01222,1.12353,1.2726,0.38581,0.5,0.42018,0.24243,1.5149,3.18829,2.66693,0.00051301,0.00051301,0.00051301
16,49.6941,1.17837,1.01081,1.47121,0.15365,0.66667,0.29238,0.20922,1.41905,4.05705,2.1713,0.000543275,0.000543275,0.000543275
17,51.4766,0.95597,0.93024,1.22179,0.28299,0.5,0.205,0.12605,1.32778,3.42267,2.16417,0.00057288,0.00057288,0.00057288
18,53.3888,1.1577,1.1877,1.42735,0.35334,0.66667,0.47586,0.21638,1.9714,3.33885,3.62106,0.000601825,0.000601825,0.000601825
19,55.1052,1.16769,1.19679,1.40759,0.30096,0.33333,0.19424,0.09461,1.80663,6.23318,2.92399,0.00063011,0.00063011,0.00063011
20,56.8161,0.82673,0.85198,1.21096,0.1701,0.33333,0.23133,0.17268,1.60511,13.909,2.34826,0.000657735,0.000657735,0.000657735
21,58.7503,1.12115,1.05625,1.37422,0.21465,0.33333,0.32387,0.18084,1.49308,7.36406,2.48744,0.0006847,0.0006847,0.0006847
22,60.7884,1.1973,1.41409,1.48223,0.60256,0.66667,0.47506,0.20349,1.74914,3.79123,3.3493,0.000711005,0.000711005,0.000711005
23,62.6694,0.92804,1.08953,1.23772,0.38991,0.5,0.31468,0.10811,1.54379,4.83407,2.28748,0.00073665,0.00073665,0.00073665
24,64.7167,1.00479,1.13101,1.40916,0.36393,0.5,0.48871,0.13631,2.03823,4.01423,4.56513,0.000761635,0.000761635,0.000761635
25,66.8298,1.00446,1.07769,1.26224,0.00888,0.16667,0.01293,0.00808,2.07834,64.4878,6.97921,0.00078596,0.00078596,0.00078596
26,68.8459,0.86499,0.91435,1.21387,0.01347,0.5,0.04549,0.02907,2.00688,64.8206,8.05284,0.000809625,0.000809625,0.000809625
27,70.8576,1.10337,1.02871,1.41352,0.39712,0.65947,0.48087,0.13215,2.85835,17.7549,10.1996,0.00083263,0.00083263,0.00083263
28,72.4699,1.11793,1.09066,1.36512,0.39712,0.65947,0.48087,0.13215,2.85835,17.7549,10.1996,0.000854975,0.000854975,0.000854975
29,74.6412,0.87278,0.86044,1.28777,0.22465,0.58218,0.45828,0.24283,2.18155,21.8447,5.96293,0.00087666,0.00087666,0.00087666
30,76.5221,0.98862,0.93853,1.34588,0.13188,0.66667,0.34349,0.16481,1.93005,14.364,3.82996,0.000897685,0.000897685,0.000897685
31,78.0684,1.12469,1.14584,1.47393,0.13188,0.66667,0.34349,0.16481,1.93005,14.364,3.82996,0.00091805,0.00091805,0.00091805
32,80.0686,0.9566,0.89411,1.252,0.12226,0.5,0.17045,0.08177,1.91111,16.2589,3.23279,0.000937755,0.000937755,0.000937755
33,82.1376,0.82459,0.81513,1.24519,0.05185,0.5,0.04281,0.02054,1.56543,17.4212,2.49147,0.0009568,0.0009568,0.0009568
34,83.737,1.06492,1.13157,1.38433,0.05185,0.5,0.04281,0.02054,1.56543,17.4212,2.49147,0.000975185,0.000975185,0.000975185
35,85.9073,0.91511,0.99067,1.29062,0.04637,0.16667,0.05533,0.03634,1.70184,15.0375,2.44008,0.00099291,0.00099291,0.00099291
36,88.0078,0.989,0.96265,1.27948,0.10836,0.5,0.10421,0.05445,2.38456,12.7222,3.07276,0.00100997,0.00100997,0.00100997
37,89.8542,1.16268,1.11855,1.2913,0.10836,0.5,0.10421,0.05445,2.38456,12.7222,3.07276,0.00102638,0.00102638,0.00102638
38,92.0602,1.13086,1.07419,1.36171,0.06448,0.5,0.03785,0.01303,2.15136,15.7556,3.27902,0.00104212,0.00104212,0.00104212
39,94.3552,1.01241,0.99795,1.32416,0.04012,0.16667,0.02621,0.00899,2.26671,31.7324,3.01316,0.00105721,0.00105721,0.00105721
40,96.0599,1.12367,1.01896,1.35197,0.04012,0.16667,0.02621,0.00899,2.26671,31.7324,3.01316,0.00107164,0.00107164,0.00107164
41,98.2078,1.0589,1.06067,1.35185,0.03069,0.5,0.02131,0.01132,2.01777,49.1511,3.06603,0.0010854,0.0010854,0.0010854
42,100.468,0.88286,0.8945,1.26013,0.01377,0.66667,0.01085,0.00569,2.20556,93.4003,3.08968,0.00109851,0.00109851,0.00109851
43,102.329,1.17812,0.96346,1.38753,0.01377,0.66667,0.01085,0.00569,2.20556,93.4003,3.08968,0.00111095,0.00111095,0.00111095
44,104.429,1.19326,1.02411,1.41813,0.0056,0.33333,0.00382,0.00137,2.58156,165.865,3.89939,0.00112273,0.00112273,0.00112273
45,106.149,1.01408,1.01493,1.31655,0.0056,0.33333,0.00382,0.00137,2.58156,165.865,3.89939,0.00113386,0.00113386,0.00113386
46,108.24,1.20571,1.17567,1.35472,0.01269,0.5,0.00888,0.00357,2.56253,68.1852,3.99763,0.00114433,0.00114433,0.00114433
47,109.942,1.01958,0.8785,1.27532,0.01269,0.5,0.00888,0.00357,2.56253,68.1852,3.99763,0.00115413,0.00115413,0.00115413
48,112.529,1.03026,1.07123,1.33649,0.15943,0.33333,0.1365,0.09216,1.98165,17.2558,3.05353,0.00116328,0.00116328,0.00116328
49,114.319,1.12514,1.14291,1.43353,0.15943,0.33333,0.1365,0.09216,1.98165,17.2558,3.05353,0.00117176,0.00117176,0.00117176
50,116.296,0.95465,0.82254,1.22264,0.10952,0.33333,0.1327,0.02694,2.85731,13.1387,5.5389,0.00117958,0.00117958,0.00117958
51,117.891,1.00376,0.86225,1.23225,0.10952,0.33333,0.1327,0.02694,2.85731,13.1387,5.5389,0.001175,0.001175,0.001175
52,119.808,1.09143,1.06175,1.25809,0.06062,0.16667,0.03811,0.01942,2.45684,26.7638,4.1752,0.0011585,0.0011585,0.0011585
53,121.373,1.11353,0.93806,1.41409,0.06062,0.16667,0.03811,0.01942,2.45684,26.7638,4.1752,0.001142,0.001142,0.001142
54,123.497,1.0819,0.99096,1.3769,0.11581,0.16667,0.09021,0.01174,2.73865,19.9589,3.46419,0.0011255,0.0011255,0.0011255
55,125.057,0.85306,0.87091,1.24507,0.11581,0.16667,0.09021,0.01174,2.73865,19.9589,3.46419,0.001109,0.001109,0.001109
56,127.312,0.88286,0.83847,1.16006,0.0695,0.16667,0.05998,0.02371,3.13014,36.0399,5.32668,0.0010925,0.0010925,0.0010925
57,129.055,0.87581,0.88421,1.22242,0.0695,0.16667,0.05998,0.02371,3.13014,36.0399,5.32668,0.001076,0.001076,0.001076
58,131.279,0.93265,0.77769,1.26339,0.1908,0.33333,0.22214,0.06154,2.60812,26.4683,3.73419,0.0010595,0.0010595,0.0010595
59,132.954,0.94625,0.79472,1.28631,0.1908,0.33333,0.22214,0.06154,2.60812,26.4683,3.73419,0.001043,0.001043,0.001043
60,135.084,0.9507,0.87046,1.2749,0.17803,0.5,0.14715,0.06882,1.8381,9.88276,2.18725,0.0010265,0.0010265,0.0010265
61,136.664,0.8999,0.77837,1.21665,0.17803,0.5,0.14715,0.06882,1.8381,9.88276,2.18725,0.00101,0.00101,0.00101
62,138.985,1.03591,0.86582,1.33512,0.25221,0.66667,0.22529,0.12213,1.57968,10.7574,1.99697,0.0009935,0.0009935,0.0009935
63,140.599,0.91584,0.76656,1.17124,0.25221,0.66667,0.22529,0.12213,1.57968,10.7574,1.99697,0.000977,0.000977,0.000977
64,142.709,0.96793,0.80545,1.34018,0.42933,0.5,0.37059,0.101,2.16358,7.32282,3.68283,0.0009605,0.0009605,0.0009605
65,144.268,0.97871,0.86281,1.29259,0.42933,0.5,0.37059,0.101,2.16358,7.32282,3.68283,0.000944,0.000944,0.000944
66,146.432,1.03207,0.96598,1.29796,0.29137,0.83333,0.3171,0.1147,2.16217,5.47651,3.98155,0.0009275,0.0009275,0.0009275
67,148.012,0.9404,0.78166,1.27414,0.29137,0.83333,0.3171,0.1147,2.16217,5.47651,3.98155,0.000911,0.000911,0.000911
68,150.147,0.85528,0.73511,1.12786,0.61708,0.83333,0.77874,0.39601,1.58461,3.51038,2.9069,0.0008945,0.0008945,0.0008945
69,151.759,0.77542,0.78178,1.12694,0.61708,0.83333,0.77874,0.39601,1.58461,3.51038,2.9069,0.000878,0.000878,0.000878
70,153.888,0.77081,0.74453,1.12379,0.59725,0.83333,0.71505,0.47544,1.27539,3.4188,2.0486,0.0008615,0.0008615,0.0008615
71,155.642,0.90202,0.79858,1.2368,0.59725,0.83333,0.71505,0.47544,1.27539,3.4188,2.0486,0.000845,0.000845,0.000845
72,157.682,0.76596,0.6987,1.14212,0.74795,0.33333,0.57806,0.42688,1.24406,3.69219,1.81628,0.0008285,0.0008285,0.0008285
73,159.427,0.77309,0.64035,1.16373,0.74795,0.33333,0.57806,0.42688,1.24406,3.69219,1.81628,0.000812,0.000812,0.000812
74,162.421,0.76832,0.61083,1.13022,0.34642,0.62159,0.50106,0.30236,1.43155,3.99311,1.92648,0.0007955,0.0007955,0.0007955
75,164.059,0.75015,0.61769,1.13698,0.34642,0.62159,0.50106,0.30236,1.43155,3.99311,1.92648,0.000779,0.000779,0.000779
76,166.344,0.9955,0.7553,1.31402,0.51286,0.53,0.56741,0.36114,1.34586,3.38768,2.05119,0.0007625,0.0007625,0.0007625
77,168.002,0.79553,0.67219,1.14551,0.51286,0.53,0.56741,0.36114,1.34586,3.38768,2.05119,0.000746,0.000746,0.000746
78,170.595,0.77198,0.64012,1.12236,0.45261,0.66667,0.60949,0.41503,1.22766,2.97344,1.98963,0.0007295,0.0007295,0.0007295
79,172.454,0.76381,0.75422,1.12528,0.45261,0.66667,0.60949,0.41503,1.22766,2.97344,1.98963,0.000713,0.000713,0.000713
80,175.114,0.81271,0.70431,1.14861,0.48544,0.66667,0.55366,0.46215,0.95035,2.60751,1.45704,0.0006965,0.0006965,0.0006965
81,176.862,0.6525,0.60709,1.08179,0.48544,0.66667,0.55366,0.46215,0.95035,2.60751,1.45704,0.00068,0.00068,0.00068
